adm4,local_datetime,subdistrict_name,t,hu,ws,wd,tcc,visibility,weather_desc_en,rain_level,sea_level,tide_height,flood
31.73.05.1001,2024-01-01 11:00:00,kebon jeruk,33.82,65.23,8.62,NW,99.6,8.35,Clear,0,1.83,2.48,0
31.73.05.1002,2024-01-01 11:00:00,sukabumi utara,33.82,65.23,8.62,NW,99.6,8.35,Clear,0,1.83,2.48,0
31.73.05.1003,2024-01-01 11:00:00,sukabumi selatan,33.82,65.23,8.62,NW,99.6,8.35,Clear,0,1.83,2.48,0
31.73.05.1004,2024-01-01 11:00:00,kelapa dua,33.82,65.23,8.62,NW,99.6,8.35,Clear,0,1.83,2.48,0
31.73.05.1005,2024-01-01 11:00:00,duri kepa,33.82,65.23,8.62,NW,99.6,8.35,Clear,0,1.83,2.48,0
31.73.05.1006,2024-01-01 11:00:00,kedoya utara,33.82,65.23,8.62,NW,99.6,8.35,Clear,0,1.83,2.48,0
31.73.05.1007,2024-01-01 11:00:00,kedoya selatan,33.82,65.23,8.62,NW,99.6,8.35,Clear,0,1.83,2.48,0
31.73.04.1001,2024-01-01 12:00:00,tambora,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1002,2024-01-01 12:00:00,kali anyar,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1003,2024-01-01 12:00:00,duri utara,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1004,2024-01-01 12:00:00,tanah sereal,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1005,2024-01-01 12:00:00,krendang,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1006,2024-01-01 12:00:00,jembatan besi,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1007,2024-01-01 12:00:00,angke,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1008,2024-01-01 12:00:00,jembatan lima,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1009,2024-01-01 12:00:00,pekojan,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1010,2024-01-01 12:00:00,roa malaka,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.04.1011,2024-01-01 12:00:00,duri selatan,25.12,54.05,11.03,N,62.44,8.97,Light Rain,1,0.47,1.88,0
31.73.08.1001,2024-01-01 15:00:00,kembangan utara,32.66,84.75,15.48,SE,37.52,9.22,Light Rain,1,1.24,0.44,0
31.73.08.1002,2024-01-01 15:00:00,meruya utara,32.66,84.75,15.48,SE,37.52,9.22,Light Rain,1,1.24,0.44,0
31.73.08.1003,2024-01-01 15:00:00,meruya selatan,32.66,84.75,15.48,SE,37.52,9.22,Light Rain,1,1.24,0.44,0
31.73.08.1004,2024-01-01 15:00:00,srengseng,32.66,84.75,15.48,SE,37.52,9.22,Light Rain,1,1.24,0.44,0
31.73.08.1005,2024-01-01 15:00:00,joglo,32.66,84.75,15.48,SE,37.52,9.22,Light Rain,1,1.24,0.44,0
31.73.08.1006,2024-01-01 15:00:00,kembangan selatan,32.66,84.75,15.48,SE,37.52,9.22,Light Rain,1,1.24,0.44,0
31.73.04.1001,2024-01-01 16:00:00,tambora,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1002,2024-01-01 16:00:00,kali anyar,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1003,2024-01-01 16:00:00,duri utara,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1004,2024-01-01 16:00:00,tanah sereal,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1005,2024-01-01 16:00:00,krendang,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1006,2024-01-01 16:00:00,jembatan besi,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1007,2024-01-01 16:00:00,angke,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1008,2024-01-01 16:00:00,jembatan lima,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1009,2024-01-01 16:00:00,pekojan,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1010,2024-01-01 16:00:00,roa malaka,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1011,2024-01-01 16:00:00,duri selatan,32.17,67.3,8.03,N,46.24,4.49,Cloudy,0,0.24,0.14,0
31.73.04.1001,2024-01-01 17:00:00,tambora,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1002,2024-01-01 17:00:00,kali anyar,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1003,2024-01-01 17:00:00,duri utara,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1004,2024-01-01 17:00:00,tanah sereal,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1005,2024-01-01 17:00:00,krendang,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1006,2024-01-01 17:00:00,jembatan besi,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1007,2024-01-01 17:00:00,angke,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1008,2024-01-01 17:00:00,jembatan lima,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1009,2024-01-01 17:00:00,pekojan,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1010,2024-01-01 17:00:00,roa malaka,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.04.1011,2024-01-01 17:00:00,duri selatan,26.58,98.78,25.06,S,70.53,8.47,Thunderstorm,4,0.53,0.98,0
31.73.08.1001,2024-01-01 19:00:00,kembangan utara,30.69,91.12,11.37,N,38.37,9.42,Thunderstorm,4,1.83,2.39,1
31.73.08.1002,2024-01-01 19:00:00,meruya utara,30.69,91.12,11.37,N,38.37,9.42,Thunderstorm,4,1.83,2.39,1
31.73.08.1003,2024-01-01 19:00:00,meruya selatan,30.69,91.12,11.37,N,38.37,9.42,Thunderstorm,4,1.83,2.39,1
31.73.08.1004,2024-01-01 19:00:00,srengseng,30.69,91.12,11.37,N,38.37,9.42,Thunderstorm,4,1.83,2.39,1
31.73.08.1005,2024-01-01 19:00:00,joglo,30.69,91.12,11.37,N,38.37,9.42,Thunderstorm,4,1.83,2.39,1
31.73.08.1006,2024-01-01 19:00:00,kembangan selatan,30.69,91.12,11.37,N,38.37,9.42,Thunderstorm,4,1.83,2.39,1
31.73.01.1001,2024-01-01 21:00:00,cengkareng barat,29.57,93.1,0.58,NW,66.92,9.47,Rain,2,0.14,1.54,0
31.73.01.1002,2024-01-01 21:00:00,duri kosambi,29.57,93.1,0.58,NW,66.92,9.47,Rain,2,0.14,1.54,0
31.73.01.1003,2024-01-01 21:00:00,rawa buaya,29.57,93.1,0.58,NW,66.92,9.47,Rain,2,0.14,1.54,0
31.73.01.1004,2024-01-01 21:00:00,kedaung kali angke,29.57,93.1,0.58,NW,66.92,9.47,Rain,2,0.14,1.54,0
31.73.01.1005,2024-01-01 21:00:00,kapuk,29.57,93.1,0.58,NW,66.92,9.47,Rain,2,0.14,1.54,0
31.73.01.1006,2024-01-01 21:00:00,cengkareng timur,29.57,93.1,0.58,NW,66.92,9.47,Rain,2,0.14,1.54,0
31.73.08.1001,2024-01-01 22:00:00,kembangan utara,29.72,96.14,3.73,NW,21.55,7.09,Rain,2,0.72,1.32,0
31.73.08.1002,2024-01-01 22:00:00,meruya utara,29.72,96.14,3.73,NW,21.55,7.09,Rain,2,0.72,1.32,0
31.73.08.1003,2024-01-01 22:00:00,meruya selatan,29.72,96.14,3.73,NW,21.55,7.09,Rain,2,0.72,1.32,0
31.73.08.1004,2024-01-01 22:00:00,srengseng,29.72,96.14,3.73,NW,21.55,7.09,Rain,2,0.72,1.32,0
31.73.08.1005,2024-01-01 22:00:00,joglo,29.72,96.14,3.73,NW,21.55,7.09,Rain,2,0.72,1.32,0
31.73.08.1006,2024-01-01 22:00:00,kembangan selatan,29.72,96.14,3.73,NW,21.55,7.09,Rain,2,0.72,1.32,0
31.73.04.1001,2024-01-02 00:00:00,tambora,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1002,2024-01-02 00:00:00,kali anyar,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1003,2024-01-02 00:00:00,duri utara,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1004,2024-01-02 00:00:00,tanah sereal,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1005,2024-01-02 00:00:00,krendang,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1006,2024-01-02 00:00:00,jembatan besi,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1007,2024-01-02 00:00:00,angke,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1008,2024-01-02 00:00:00,jembatan lima,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1009,2024-01-02 00:00:00,pekojan,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1010,2024-01-02 00:00:00,roa malaka,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.04.1011,2024-01-02 00:00:00,duri selatan,31.69,80.31,14.79,SW,72.41,9.44,Heavy Rain,3,0.62,0.77,1
31.73.08.1001,2024-01-02 02:00:00,kembangan utara,27.24,58.74,15.93,N,77.81,3.99,Cloudy,0,1.3,0.67,0
31.73.08.1002,2024-01-02 02:00:00,meruya utara,27.24,58.74,15.93,N,77.81,3.99,Cloudy,0,1.3,0.67,0
31.73.08.1003,2024-01-02 02:00:00,meruya selatan,27.24,58.74,15.93,N,77.81,3.99,Cloudy,0,1.3,0.67,0
31.73.08.1004,2024-01-02 02:00:00,srengseng,27.24,58.74,15.93,N,77.81,3.99,Cloudy,0,1.3,0.67,0
31.73.08.1005,2024-01-02 02:00:00,joglo,27.24,58.74,15.93,N,77.81,3.99,Cloudy,0,1.3,0.67,0
31.73.08.1006,2024-01-02 02:00:00,kembangan selatan,27.24,58.74,15.93,N,77.81,3.99,Cloudy,0,1.3,0.67,0
31.73.01.1001,2024-01-02 03:00:00,cengkareng barat,28.25,75.13,17.85,E,88.56,7.31,Heavy Rain,3,0.24,0.26,1
31.73.01.1002,2024-01-02 03:00:00,duri kosambi,28.25,75.13,17.85,E,88.56,7.31,Heavy Rain,3,0.24,0.26,1
31.73.01.1003,2024-01-02 03:00:00,rawa buaya,28.25,75.13,17.85,E,88.56,7.31,Heavy Rain,3,0.24,0.26,1
31.73.01.1004,2024-01-02 03:00:00,kedaung kali angke,28.25,75.13,17.85,E,88.56,7.31,Heavy Rain,3,0.24,0.26,1
31.73.01.1005,2024-01-02 03:00:00,kapuk,28.25,75.13,17.85,E,88.56,7.31,Heavy Rain,3,0.24,0.26,1
31.73.01.1006,2024-01-02 03:00:00,cengkareng timur,28.25,75.13,17.85,E,88.56,7.31,Heavy Rain,3,0.24,0.26,1
31.73.01.1001,2024-01-02 04:00:00,cengkareng barat,29.08,69.93,0.3,NW,55.0,7.89,Clear,0,1.83,0.67,0
31.73.01.1002,2024-01-02 04:00:00,duri kosambi,29.08,69.93,0.3,NW,55.0,7.89,Clear,0,1.83,0.67,0
31.73.01.1003,2024-01-02 04:00:00,rawa buaya,29.08,69.93,0.3,NW,55.0,7.89,Clear,0,1.83,0.67,0
31.73.01.1004,2024-01-02 04:00:00,kedaung kali angke,29.08,69.93,0.3,NW,55.0,7.89,Clear,0,1.83,0.67,0
31.73.01.1005,2024-01-02 04:00:00,kapuk,29.08,69.93,0.3,NW,55.0,7.89,Clear,0,1.83,0.67,0
31.73.01.1006,2024-01-02 04:00:00,cengkareng timur,29.08,69.93,0.3,NW,55.0,7.89,Clear,0,1.83,0.67,0
31.73.05.1001,2024-01-02 05:00:00,kebon jeruk,26.42,57.32,13.92,NE,75.72,9.36,Thunderstorm,4,1.92,0.13,0
31.73.05.1002,2024-01-02 05:00:00,sukabumi utara,26.42,57.32,13.92,NE,75.72,9.36,Thunderstorm,4,1.92,0.13,0
31.73.05.1003,2024-01-02 05:00:00,sukabumi selatan,26.42,57.32,13.92,NE,75.72,9.36,Thunderstorm,4,1.92,0.13,0
31.73.05.1004,2024-01-02 05:00:00,kelapa dua,26.42,57.32,13.92,NE,75.72,9.36,Thunderstorm,4,1.92,0.13,0
31.73.05.1005,2024-01-02 05:00:00,duri kepa,26.42,57.32,13.92,NE,75.72,9.36,Thunderstorm,4,1.92,0.13,0
31.73.05.1006,2024-01-02 05:00:00,kedoya utara,26.42,57.32,13.92,NE,75.72,9.36,Thunderstorm,4,1.92,0.13,0
31.73.05.1007,2024-01-02 05:00:00,kedoya selatan,26.42,57.32,13.92,NE,75.72,9.36,Thunderstorm,4,1.92,0.13,0
31.73.05.1001,2024-01-02 06:00:00,kebon jeruk,25.15,68.38,28.9,SW,65.73,2.84,Rain,2,0.25,1.92,1
31.73.05.1002,2024-01-02 06:00:00,sukabumi utara,25.15,68.38,28.9,SW,65.73,2.84,Rain,2,0.25,1.92,1
31.73.05.1003,2024-01-02 06:00:00,sukabumi selatan,25.15,68.38,28.9,SW,65.73,2.84,Rain,2,0.25,1.92,1
31.73.05.1004,2024-01-02 06:00:00,kelapa dua,25.15,68.38,28.9,SW,65.73,2.84,Rain,2,0.25,1.92,1
31.73.05.1005,2024-01-02 06:00:00,duri kepa,25.15,68.38,28.9,SW,65.73,2.84,Rain,2,0.25,1.92,1
31.73.05.1006,2024-01-02 06:00:00,kedoya utara,25.15,68.38,28.9,SW,65.73,2.84,Rain,2,0.25,1.92,1
31.73.05.1007,2024-01-02 06:00:00,kedoya selatan,25.15,68.38,28.9,SW,65.73,2.84,Rain,2,0.25,1.92,1
31.73.08.1001,2024-01-02 08:00:00,kembangan utara,26.89,51.29,20.33,E,12.31,7.65,Rain,2,0.68,2.92,1
31.73.08.1002,2024-01-02 08:00:00,meruya utara,26.89,51.29,20.33,E,12.31,7.65,Rain,2,0.68,2.92,1
31.73.08.1003,2024-01-02 08:00:00,meruya selatan,26.89,51.29,20.33,E,12.31,7.65,Rain,2,0.68,2.92,1
31.73.08.1004,2024-01-02 08:00:00,srengseng,26.89,51.29,20.33,E,12.31,7.65,Rain,2,0.68,2.92,1
31.73.08.1005,2024-01-02 08:00:00,joglo,26.89,51.29,20.33,E,12.31,7.65,Rain,2,0.68,2.92,1
31.73.08.1006,2024-01-02 08:00:00,kembangan selatan,26.89,51.29,20.33,E,12.31,7.65,Rain,2,0.68,2.92,1
31.73.08.1001,2024-01-02 09:00:00,kembangan utara,29.81,56.76,9.36,W,35.61,1.57,Thunderstorm,4,0.85,0.66,1
31.73.08.1002,2024-01-02 09:00:00,meruya utara,29.81,56.76,9.36,W,35.61,1.57,Thunderstorm,4,0.85,0.66,1
31.73.08.1003,2024-01-02 09:00:00,meruya selatan,29.81,56.76,9.36,W,35.61,1.57,Thunderstorm,4,0.85,0.66,1
31.73.08.1004,2024-01-02 09:00:00,srengseng,29.81,56.76,9.36,W,35.61,1.57,Thunderstorm,4,0.85,0.66,1
31.73.08.1005,2024-01-02 09:00:00,joglo,29.81,56.76,9.36,W,35.61,1.57,Thunderstorm,4,0.85,0.66,1
31.73.08.1006,2024-01-02 09:00:00,kembangan selatan,29.81,56.76,9.36,W,35.61,1.57,Thunderstorm,4,0.85,0.66,1
31.73.04.1001,2024-01-02 10:00:00,tambora,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1002,2024-01-02 10:00:00,kali anyar,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1003,2024-01-02 10:00:00,duri utara,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1004,2024-01-02 10:00:00,tanah sereal,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1005,2024-01-02 10:00:00,krendang,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1006,2024-01-02 10:00:00,jembatan besi,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1007,2024-01-02 10:00:00,angke,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1008,2024-01-02 10:00:00,jembatan lima,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1009,2024-01-02 10:00:00,pekojan,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1010,2024-01-02 10:00:00,roa malaka,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1011,2024-01-02 10:00:00,duri selatan,25.54,98.16,23.22,E,49.87,4.49,Clear,0,0.44,1.1,0
31.73.04.1001,2024-01-02 11:00:00,tambora,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1002,2024-01-02 11:00:00,kali anyar,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1003,2024-01-02 11:00:00,duri utara,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1004,2024-01-02 11:00:00,tanah sereal,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1005,2024-01-02 11:00:00,krendang,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1006,2024-01-02 11:00:00,jembatan besi,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1007,2024-01-02 11:00:00,angke,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1008,2024-01-02 11:00:00,jembatan lima,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1009,2024-01-02 11:00:00,pekojan,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1010,2024-01-02 11:00:00,roa malaka,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1011,2024-01-02 11:00:00,duri selatan,28.81,77.48,23.19,W,65.54,3.54,Thunderstorm,4,1.2,1.14,1
31.73.04.1001,2024-01-02 12:00:00,tambora,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1002,2024-01-02 12:00:00,kali anyar,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1003,2024-01-02 12:00:00,duri utara,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1004,2024-01-02 12:00:00,tanah sereal,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1005,2024-01-02 12:00:00,krendang,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1006,2024-01-02 12:00:00,jembatan besi,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1007,2024-01-02 12:00:00,angke,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1008,2024-01-02 12:00:00,jembatan lima,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1009,2024-01-02 12:00:00,pekojan,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1010,2024-01-02 12:00:00,roa malaka,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.04.1011,2024-01-02 12:00:00,duri selatan,29.33,98.29,15.64,N,86.5,3.74,Thunderstorm,4,1.92,0.12,1
31.73.05.1001,2024-01-02 13:00:00,kebon jeruk,24.52,71.62,29.28,N,27.66,9.85,Light Rain,1,1.06,2.53,1
31.73.05.1002,2024-01-02 13:00:00,sukabumi utara,24.52,71.62,29.28,N,27.66,9.85,Light Rain,1,1.06,2.53,1
31.73.05.1003,2024-01-02 13:00:00,sukabumi selatan,24.52,71.62,29.28,N,27.66,9.85,Light Rain,1,1.06,2.53,1
31.73.05.1004,2024-01-02 13:00:00,kelapa dua,24.52,71.62,29.28,N,27.66,9.85,Light Rain,1,1.06,2.53,1
31.73.05.1005,2024-01-02 13:00:00,duri kepa,24.52,71.62,29.28,N,27.66,9.85,Light Rain,1,1.06,2.53,1
31.73.05.1006,2024-01-02 13:00:00,kedoya utara,24.52,71.62,29.28,N,27.66,9.85,Light Rain,1,1.06,2.53,1
31.73.05.1007,2024-01-02 13:00:00,kedoya selatan,24.52,71.62,29.28,N,27.66,9.85,Light Rain,1,1.06,2.53,1
31.73.08.1001,2024-01-02 14:00:00,kembangan utara,27.37,65.59,3.77,NW,21.3,6.78,Thunderstorm,4,0.26,0.19,1
